Reference, Value, Footprint, Datasheet
U1,STM32F446RE_LQFP64,footprints_micromouse:STM32F446_LQFP64,
LED_BLUE1,Led_Small,LEDs:LED_0603,
LED_WHITE1,Led_Small,LEDs:LED_0603,
R3,1k,Resistors_SMD:R_0603,
R4,1k,Resistors_SMD:R_0603,
M3,2.54MM-SLIDE-SWITCH_TS02_SWITCH,pcb1:2.54MM-SLIDE-SWITCH_TS02_SWITCH,
U11,TPS76850,footprints_micromouse:TPS76850_SOIC-8,
U12,TPS73633,footprints_micromouse:TPS73633_SOT-23,
C_VBAT1,100uF,Capacitors_SMD:C_1210,
C_VBAT2,0.1uF,Capacitors_SMD:C_0603,
C_5V2,0.1uF,Capacitors_SMD:C_0603,
C_5V1,100uF,Capacitors_SMD:C_1210,
CNR1,0.1uF,Capacitors_SMD:C_0603,
C_3.3V1,10uF,Capacitors_SMD:C_1206,
C_3.3V2,0.1uF,Capacitors_SMD:C_0603,
R_PWR1,1k,Resistors_SMD:R_0603,
D_PWR1,Led_Small,LEDs:LED_0603,
R_PB2,47k,Resistors_SMD:R_0603,
SW2,SWITCH_DPST,Buttons_Switches_SMD:SW_SPST_PTS645,
SW3,SWITCH_DPST,Buttons_Switches_SMD:SW_SPST_PTS645,
C_RESET1,0.1uF,Capacitors_SMD:C_0603,
R_PB1,47k,Resistors_SMD:R_0603,
SW1,SWITCH_DPST,Buttons_Switches_SMD:SW_SPST_PTS645,
R_BOOT1,10k,Resistors_SMD:R_0603,
C_VCAP1,2.2uF,Capacitors_SMD:C_1206,
C_V5,0.1uF,Capacitors_SMD:C_0603,
C_VCAP2,2.2uF,Capacitors_SMD:C_1206,
C_V6,0.1uF,Capacitors_SMD:C_0603,
C_V3,0.1uF,Capacitors_SMD:C_0603,
C_V2,0.1uF,Capacitors_SMD:C_0603,
C_V1,0.1uF,Capacitors_SMD:C_0603,
L_BEAD1,10uH,Resistors_SMD:R_0603,
R_VOL1,20k,Resistors_SMD:R_0603,
R_VOL2,10k,Resistors_SMD:R_0603,
C_V4,0.1uF,Capacitors_SMD:C_0603,
C_M1,220uF,Capacitors_Tantalum_SMD:TantalC_SizeD_EIA-7343_HandSoldering,
CN2,5_PIN_HEADER,Pin_Headers:Pin_Header_Straight_1x05,
CN1,5_PIN_HEADER,Pin_Headers:Pin_Header_Straight_1x05,
LED_GREEN1,Led_Small,LEDs:LED_0603,
R2,1k,Resistors_SMD:R_0603,
LED_RED1,Led_Small,LEDs:LED_0603,
R1,1k,Resistors_SMD:R_0603,
P2,B3B-PH-SM4-TB,footprints_micromouse:JST_B3B-PH_HEADER,
P1,B3B-PH-SM4-TB,footprints_micromouse:JST_B3B-PH_HEADER,
U2,MAX14871,footprints_micromouse:TSSOP-16_EP,
U3,MAX14871,footprints_micromouse:TSSOP-16_EP,
M1,MOTOR_MOUNTS_AND_ENCODERS,footprints_micromouse:FUTURA-1.0-MOTOR-MOUNT-TEMPLATE,
C_MOTOR1,1uF,Capacitors_SMD:C_0603,
C_MOTOR2,1uF,Capacitors_SMD:C_0603,
R_MOTOR1,10k,Resistors_SMD:R_0603,
R_MOTOR2,10k,Resistors_SMD:R_0603,
R13,62.5m,Resistors_SMD:R_0603,
R14,62.5m,Resistors_SMD:R_0603,
U5,VL6180X_POLOLU,footprints_micromouse:VL6180X_POLOLU_Pin_Header_Straight_1x07,
U7,VL6180X_POLOLU,footprints_micromouse:VL6180X_POLOLU_Pin_Header_Straight_1x07,
U8,VL6180X_POLOLU,footprints_micromouse:VL6180X_POLOLU_Pin_Header_Straight_1x07,
U6,VL6180X_POLOLU,footprints_micromouse:VL6180X_POLOLU_Pin_Header_Straight_1x07,
U4,TCA9545A,Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm,
R_RANGE4,10k,Resistors_SMD:R_0603,
R_RANGE5,10k,Resistors_SMD:R_0603,
R_RANGE6,10k,Resistors_SMD:R_0603,
R_RANGE7,10k,Resistors_SMD:R_0603,
R_RANGE3,10k,Resistors_SMD:R_0603,
R_RANGE2,10k,Resistors_SMD:R_0603,
R_RANGE1,10k,Resistors_SMD:R_0603,
C_RANGE1,0.1uF,Capacitors_SMD:C_0603,
U9,HCMS-2901,footprints_micromouse:HCMS-2903,
U10,MPU-9250,footprints_micromouse:MPU-9250,
J1,uSD_SLOT_47219-2001,footprints_micromouse:uSD_MOLEX_47219-2001,
C_DIS1,0.1uF,Capacitors_SMD:C_0603,
C_DIS2,10uF,Capacitors_SMD:C_1206,
D1,Led_Small,LEDs:LED_0603,
R_uSD1,1k,Resistors_SMD:R_0603,
C_IMU1,0.1uF,Capacitors_SMD:C_0603,
C_IMU3,0.1uF,Capacitors_SMD:C_0603,
C_IMU2,10nF,Capacitors_SMD:C_0805,
R_IMU2,10k,Resistors_SMD:R_0603,
R_IMU1,10k,Resistors_SMD:R_0603,
C_uSD1,10uF,Capacitors_SMD:C_1206,
